,artist_name,track_name,track_id,popularity
195,Luke Combs,"Houston, We Got a Problem",6guWjUuNYziyNXgjFo1IpF,71
196,Leon Bridges,Beyond,1Omt5bfz1tZUCqd26HxbS0,74
197,Drake,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,77
198,Nio Garcia,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,78
199,Morgan Wallen,Up Down (feat. Florida Georgia Line),3EWMoDIm6lzuR0zQKtuCJX,70
200,LANCO,Greatest Love Story,2yQZwi1P8AkkxxFhQ8rMEK,70
201,Dean Lewis,Be Alright,3EPXxR3ImUwfayaurPi3cm,80
202,Juice WRLD,Used To,0WZFN4E8HrmGUU0EMyKQ8c,72
203,Eminem,Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,76
204,Diplo,Wish - Trippie Mix,6IpvkngH89cA3hhPC84Leg,71
205,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),4e4fqjx0Izh4svvTef1z7e,74
206,benny blanco,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,77
207,Shoreline Mafia,Nun Major,18pwD0HrweX8oCgIkayRb4,70
208,Cody Jinks,Must Be The Whiskey,6VChAU4QENeLwf3OaHBJxC,68
209,George Ezra,Shotgun,4ofwffwvvnbSkrMSCKQDaC,79
210,Anuel AA,Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,80
211,YNW Melly,Mama Cry,2fSW54bA6x2iWePU7rpCiP,72
212,Anne-Marie,2002,2BgEsaKNfHUdlh97KmvFyo,82
213,girl in red,i wanna be your girlfriend,5PjdC2gMATetx5xdnwGUu7,77
214,Mitski,A Pearl,7fd3aMiuwHWKsTdZafjOfZ,75
215,Clairo,4EVER,5mIOsPuQdXchVY0jB5NO9Q,72
216,Vance Joy,Saturday Sun,2RiBogNRfulkNf7fVbPOrJ,72
217,Only The Family,Crazy Story,5i0eJv1DzuyhaYnro4wTKg,70
218,The Chainsmokers,This Feeling,4NBTZtAt1F13VvlSKe6KTl,74
219,Mac Miller,Hurt Feelings,5p7GiBZNL1afJJDUrOA6C8,72
220,Childish Gambino,Feels Like Summer,7p4vHnYXkxlzvfePJVpcTr,72
221,Godsmack,Bulletproof,6w7ily4cFWEPO0XWFQYeUO,68
222,Shoreline Mafia,"Bands (feat. OhGeesy, Fenix Flexin & Master Kato)",1n8wr8tRHs5jmBxNWXedcn,70
223,Two Feet,I Feel Like I'm Drowning,3aauaXWRgwCMoykMbI0Jq1,78
224,Summer Walker,Girls Need Love,644rGY6maSElnKVsAg1gJj,74
225,Young Dolph,Major (feat. Key Glock),3Yt2ph8Ko0JBANpdawzSF2,69
226,Takeoff,Casper,1B4gJRq61xTs6r1O0Uq2iY,72
227,Baby Smoove,Losing My Mind,2JMW1iCKgPnSqbVVhHR6wI,68
228,Post Malone,92 Explorer,1D2L6MefbXon28PzIk9I3r,73
229,XXXTENTACION,NUMB,01TnVDiet1DFTsyWKUKovl,75
230,YoungBoy Never Broke Again,I Came Thru,2umdwsJRuFHBRw8TCQmYbq,69
231,The 1975,It's Not Living (If It's Not With You),3TgMcrV32NUKjEG2ujn9eh,78
232,Juice WRLD,Candles,1wa6QQsdSE3X2GbRljGpFk,71
233,Tyler Childers,Rock Salt and Nails (Live),20dkebBtPR4AJ8vVos41Gw,68
234,Trippie Redd,Topanga,5aXgz1oKK8Q9z9xvTmSnrO,70
235,Cardi B,Be Careful,2Yl4OmDby9iitgNWZPwxkd,70
236,Mac Miller,Ladders,39NDBdU5Xkm5pCFGa5kZtI,72
237,A Boogie Wit da Hoodie,Demons and Angels (feat. Juice WRLD),3L19besdNQzd342qL78xqm,70
238,Travis Scott,NO BYSTANDERS,6OaVWaGfhXn70ZJfdVcabn,73
239,SadBoyProlific,Dead and Cold,33LizV83s7z1gwtmLiKlmv,73
240,Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",51rXHuKN8Loc4sUlKPODgH,71
241,Mac Miller,Jet Fuel,2JmFRXaJrkAUD2cs6U20KG,70
242,Kali Uchis,Your Teeth In My Neck,54IbnYEdA3ymfxv07WgN3b,71
