,track_id,track_name,artist_name,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
542,2Q2mcoXVkioh4OBcL8mm4p,On Wat U On (with GloRilla),Moneybagg Yo,On Wat U On (with GloRilla),69,159720,True,0.894,0.528,1,-7.623,1,0.466,0.0444,0.0,0.108,0.2,144.532,4
543,6dijMqFUwi7Dfh1aw5IpoL,LET EM PRAY,NF,HOPE,72,213577,False,0.583,0.676,4,-4.954,0,0.238,0.246,0.0,0.12,0.182,99.502,4
544,21rYCEejlfM0LYRlfzxGeM,Call Me What You Like,Lovejoy,Call Me What You Like,74,226960,True,0.517,0.891,0,-6.749,0,0.101,0.00905,0.0245,0.0654,0.363,152.007,4
545,6cmZSeILXKvgFRpUcDGQHZ,Mentira No Es,Fuerza Regida,Mentira No Es,76,200000,True,0.508,0.37,0,-6.957,1,0.0389,0.545,0.0,0.35,0.75,73.946,4
546,4rgu10dEKkUMTrRniXWpJG,Secreto,Anuel AA,Turbo Reggaeton Vol. 5,0,258799,False,0.807,0.803,11,-4.156,1,0.126,0.6,0.0085,0.136,0.706,91.982,4
547,7Fh8xCGwV1QHuhBPKu1i4m,I'm Not Pretty,Megan Moroney,I'm Not Pretty,69,181066,False,0.573,0.795,10,-5.561,1,0.0558,0.129,1.78e-05,0.186,0.705,128.101,4
548,0pwnoUhy57HdGjj1zNzzNV,DEATH,Melanie Martinez,PORTALS,73,306655,False,0.362,0.545,1,-8.962,1,0.0665,0.105,9.97e-06,0.288,0.448,181.895,4
549,2R7xKsStJ9hNeZKoD9W5Nv,Up & Down,The Chainsmokers,Up & Down,75,154349,False,0.728,0.796,1,-5.427,0,0.0584,0.01,0.000192,0.687,0.858,130.064,4
550,7qAwnjc2qPbpK1gB4VRwXW,I Remember (feat. Roddy Ricch & Kodak Black),Internet Money,I Remember (feat. Roddy Ricch & Kodak Black),72,173379,True,0.517,0.571,1,-7.502,0,0.124,0.074,0.0,0.0982,0.428,144.745,4
551,75To9uF11PYY0vAkXnDWvW,Wildflowers - Bonus Track,Ed Sheeran,- (Deluxe),72,178206,False,0.764,0.233,7,-9.099,1,0.0302,0.86,0.00185,0.0939,0.155,131.982,4
552,0UMqDSXk4xvoCNRrIEPf7T,King Snipe,Gucci Mane,King Snipe,71,214593,True,0.818,0.526,1,-8.078,1,0.277,0.0103,0.0,0.146,0.531,125.061,4
553,1AOPHC5whvr8K359BZu4kp,Triste Verano,Eladio Carrion,Triste Verano,82,212375,True,0.603,0.683,1,-5.262,1,0.154,0.212,0.0,0.119,0.584,171.873,4
554,1HYfsZnq3EXwK7SV8tYPoT,Put It On Da Floor,Latto,Put It On Da Floor,70,181437,True,0.565,0.561,1,-7.795,1,0.484,0.0241,0.0,0.499,0.448,166.707,4
555,5M12X6gQDoMMqqlRDg5Bfo,Stoned - Bonus Track,Ed Sheeran,- (Deluxe),72,197098,False,0.695,0.322,1,-7.145,0,0.03,0.76,0.0,0.0895,0.4,119.937,4
556,0eaVIYo2zeOaGJeqZ5TwYz,No Pole,Don Toliver,Love Sick (Deluxe),71,187613,True,0.328,0.631,5,-5.169,0,0.0465,0.0714,0.0,0.567,0.382,85.262,4
557,65tX8MBdsnTiwy9UoIPHzr,WORTH NOTHING (feat. Oliver Tree) - Fast & Furious: Drift Tape/Phonk Vol 1,TWISTED,WORTH NOTHING (feat. Oliver Tree) [Fast & Furious: Drift Tape/Vol 1],82,164629,True,0.604,0.601,2,-7.887,0,0.0628,0.15,0.000579,0.168,0.156,139.88,4
558,1slDsIJxew9AOOA3v0xFzn,Go (Xtayalive 2),Kanii,Go (Xtayalive 2),72,106307,True,0.603,0.797,6,-5.279,0,0.0474,0.00443,5.63e-06,0.103,0.235,135.438,4
559,79euszUrA1kga1kK5PRmDo,Cuerpecito,Jhayco,Cuerpecito,79,195333,False,0.807,0.762,8,-2.41,1,0.0468,0.0721,0.0,0.0922,0.268,106.004,4
560,1wwjfgCUXaupR7q3tv6ZXN,Me On You,Muscadine Bloodline,Teenage Dixie,70,167266,False,0.72,0.798,11,-5.42,0,0.0359,0.221,0.0,0.181,0.949,97.918,4
